code,title
tt0995832,"Generation Kill"
tt0080306,"Yes Minister"
tt7259746,"Queer Eye"
tt0397150,"Garth Marenghi's Darkplace"
tt0459159,"The Thick of It"
tt9544034,"The Family Man"
tt0314979,"Battlestar Galactica"
tt0112159,"Neon Genesis Evangelion"
tt8289930,"Formula 1: Drive to Survive"
tt0877057,"Death Note"
tt0421291,"Avrupa Yakasi"
tt0043208,"I Love Lucy"
tt0106179,"The X-Files"
tt5687612,"Fleabag"
tt0386676,"The Office"
tt3398540,"Haikyu!!"
tt6958022,"The Defiant Ones"
tt9432978,"Kota Factory"
tt9174558,"Dopesick"
tt5189670,"Making a Murderer"
tt0074006,"I, Claudius"
tt6108262,"Black Sun"
tt0121955,"South Park"
tt0112130,"Pride and Prejudice"
tt1439629,"Community"
tt0348914,"Deadwood"
tt3230854,"The Expanse"
tt0063929,"Monty Python's Flying Circus"
tt0193676,"Freaks and Geeks"
tt0290978,"The Office"
tt1266020,"Parks and Recreation"
tt3526078,"Schitt's Creek"
tt0412142,"House M.D."
tt0053488,"The Bugs Bunny Show"
tt4742876,"TVF Pitchers"
tt0487831,"The IT Crowd"
tt0903747,"Breaking Bad"
tt5288312,"Skam"
tt0120570,"From the Earth to the Moon"
tt8111088,"The Mandalorian"
tt0407362,"Battlestar Galactica"
tt7221388,"Cobra Kai"
tt2092588,"Frozen Planet"
tt4934214,"Taskmaster"
tt0098936,"Twin Peaks"
tt2701582,"Endeavour"
tt0795176,"Planet Earth"
tt12004706,"Panchayat"
tt1865718,"Gravity Falls"
tt0052520,"The Twilight Zone"
tt7137906,"When They See Us"
tt2575988,"Silicon Valley"
tt0979432,"Boardwalk Empire"
tt1489428,"Justified"
tt2100976,"Impractical Jokers"
tt2937900,"The Knick"
tt1355642,"Fullmetal Alchemist: Brotherhood"
tt1856010,"House of Cards"
tt12343534,"Jujutsu Kaisen"
tt1831164,"Leyla and Mecnun"
tt1475582,"Sherlock"
tt11280740,"Severance"
tt7278862,"My Brilliant Friend"
tt0158417,"Mahabharat"
tt10332508,"Primal"
tt1910272,"Steins;Gate"
tt0296310,"The Blue Planet"
tt2303687,"Line of Duty"
tt1518542,"Sarabhai V/S Sarabhai"
tt0092455,"Star Trek: The Next Generation"
tt2707408,"Narcos"
tt0403778,"Long Way Round"
tt0096548,"Blackadder Goes Forth"
tt0103584,"X-Men: The Animated Series"
tt4082744,"Detectorists"
tt0353049,"Chappelle's Show"
tt3895150,"Your Lie in April"
tt0387764,"Peep Show"
tt0103359,"Batman: The Animated Series"
tt0237123,"Coupling"
tt0306414,"The Wire"
tt0098904,"Seinfeld"
tt0086661,"The Adventures of Sherlock Holmes"
tt6763664,"The Haunting of Hill House"
tt0290988,"Trailer Park Boys"
tt5788792,"The Marvelous Mrs. Maisel"
tt2297757,"Nathan for You"
tt5712554,"The Grand Tour"
tt4508902,"One Punch Man"
tt0262150,"Black Books"
tt10986410,"Ted Lasso"
tt0380136,"QI"
tt13991232,"1883"
tt10802170,"The Rehearsal"
tt0047708,"Alfred Hitchcock Presents"
tt0098769,"The Civil War"
tt5753856,"Dark"
tt1641384,"Young Justice"
tt3718778,"Over the Garden Wall"
tt1806234,"Human Planet"
tt5290382,"Mindhunter"
tt0303461,"Firefly"
tt5555260,"This Is Us"
tt7660850,"Succession"
tt5421602,"Anne with an E"
tt0436992,"Doctor Who"
tt1230180,"The Angry Video Game Nerd"
tt1586680,"Shameless"
tt2433738,"Wentworth"
